Age,Gender,Education Level,Job Title,Job Level,Years of Experience,Salary
46,Male,PhD,Senior Researcher,Senior,18,150000
31,Female,Bachelor's,Junior HR Coordinator,Junior,4,50000
34,Male,Master's,Senior Software Engineer,Senior,9,105000
50,Female,Master's,Director of Finance,Director,20,180000
29,Male,Bachelor's,Junior Marketing Coordinator,Junior,2,40000
43,Male,Bachelor's,Senior Project Manager,Manager,16,140000
26,Female,Master's,Junior Data Scientist,Junior,1.5,45000
35,Male,Bachelor's,Senior Operations Analyst,Senior,7,85000
42,Female,PhD,Senior Marketing Manager,Manager,18,140000
31,Male,Bachelor's,Junior Accountant,Junior,4,50000
38,Female,Bachelor's,Senior Human Resources Coordinator,Senior,10,80000
46,Male,Master's,Director of Operations,Director,20,170000
29,Female,Bachelor's,Junior Sales Representative,Junior,2,40000
37,Male,Master's,Senior Business Analyst,Senior,9,105000
44,Female,PhD,Senior UX Designer,Senior,15,145000
27,Male,Bachelor's,Junior Product Manager,Manager,2,40000
36,Female,Bachelor's,Senior Marketing Specialist,Senior,8,85000
43,Male,Bachelor's,Senior IT Project Manager,Manager,14,130000
33,Female,Master's,Senior Financial Analyst,Senior,6,95000
34,Male,Bachelor's,Senior Quality Assurance Analyst,Senior,9,100000
50,Female,PhD,Director of Sales and Marketing,Director,22,180000
28,Male,Bachelor's,Junior Operations Analyst,Junior,1.5,35000
39,Female,Bachelor's,Senior Account Executive,Senior,12,95000
47,Male,Master's,Director of Business Development,Director,19,170000
30,Female,Bachelor's,Junior Social Media Manager,Manager,3,45000
34,Male,Bachelor's,Senior Product Manager,Manager,7,95000
40,Female,Master's,Senior Human Resources Specialist,Senior,13,120000
28,Male,Bachelor's,Junior Business Analyst,Junior,2,40000
41,Female,Bachelor's,Senior Marketing Coordinator,Senior,11,90000
45,Male,PhD,Senior Data Analyst,Senior,17,155000
32,Female,Bachelor's,Junior Account Manager,Manager,5,55000
35,Male,Master's,Senior Software Developer,Senior,9,110000
49,Female,Master's,Director of Human Capital,Director,21,180000
30,Male,Bachelor's,Junior Advertising Coordinator,Junior,3,45000
44,Male,Bachelor's,Senior Sales Manager,Manager,16,130000
27,Female,Master's,Junior UX Designer,Junior,1.5,45000
36,Male,Bachelor's,Senior Accountant,Senior,7,90000
41,Female,PhD,Senior Marketing Director,Senior,17,160000
31,Male,Bachelor's,Junior HR Generalist,Junior,4,50000
39,Female,Bachelor's,Senior Operations Manager,Manager,10,120000
47,Male,Master's,Director of Finance,Director,20,170000
30,Female,Bachelor's,Junior Marketing Coordinator,Junior,2,40000
38,Male,Master's,Senior IT Consultant,Senior,9,110000
45,Female,PhD,Senior Product Designer,Senior,15,150000
28,Male,Bachelor's,Junior Business Development Associate,Junior,2,40000
35,Female,Bachelor's,Senior Marketing Analyst,Senior,8,85000
44,Male,Bachelor's,Senior Software Engineer,Senior,14,130000
34,Female,Master's,Senior Financial Advisor,Senior,6,100000
35,Male,Bachelor's,Senior Project Coordinator,Senior,9,95000
50,Female,PhD,Director of Operations,Director,22,180000
29,Male,Bachelor's,Junior Business Operations Analyst,Junior,1.5,35000
40,Female,Bachelor's,Senior Sales Representative,Senior,12,100000
48,Male,Master's,Director of Marketing,Director,19,170000
31,Female,Bachelor's,Junior Social Media Specialist,Junior,3,45000
33,Male,Bachelor's,Senior Product Development Manager,Manager,7,100000
42,Female,Master's,Senior Human Resources Manager,Manager,13,140000
28,Male,Bachelor's,Junior Financial Analyst,Junior,2,40000
40,Female,Bachelor's,Senior Marketing Manager,Manager,11,105000
46,Male,PhD,Senior Data Scientist,Senior,18,160000
33,Female,Bachelor's,Junior Operations Manager,Manager,5,70000
37,Male,Master's,Senior Software Architect,Senior,9,120000
51,Female,Master's,Director of Human Resources,Director,21,190000
30,Male,Bachelor's,Junior Marketing Specialist,Junior,3,45000
43,Male,Bachelor's,Senior Project Manager,Manager,15,120000
27,Female,Master's,Junior Research Scientist,Junior,1.5,50000
35,Male,Bachelor's,Senior Operations Analyst,Senior,8,85000
42,Female,PhD,Senior Marketing Manager,Manager,13,140000
32,Male,Bachelor's,Junior Sales Representative,Junior,3,45000
37,Female,Bachelor's,Senior Financial Analyst,Senior,9,100000
45,Male,Master's,Senior Software Developer,Senior,16,140000
33,Female,Bachelor's,Junior Operations Analyst,Junior,5,70000
39,Male,Bachelor's,Senior Marketing Specialist,Senior,10,120000
44,Female,PhD,Senior HR Manager,Manager,18,160000
29,Male,Bachelor's,Junior Business Analyst,Junior,1.5,40000
38,Female,Bachelor's,Senior Product Manager,Manager,10,120000
46,Male,PhD,Senior Data Analyst,Senior,19,150000
34,Female,Bachelor's,Junior Marketing Analyst,Junior,6,70000
36,Male,Bachelor's,Senior Operations Manager,Manager,8,95000
49,Female,Master's,Director of Marketing,Director,21,180000
31,Male,Bachelor's,Junior Financial Analyst,Junior,3,50000
41,Female,Bachelor's,Senior Project Coordinator,Senior,11,95000
47,Male,Master's,Director of Operations,Director,20,170000
30,Female,Bachelor's,Junior Marketing Coordinator,Junior,2,40000
38,Male,Master's,Senior IT Consultant,Senior,9,110000
45,Female,PhD,Senior Product Designer,Senior,15,150000
28,Male,Bachelor's,Junior Business Development Associate,Junior,2,40000
35,Female,Bachelor's,Senior Marketing Analyst,Senior,8,85000
44,Male,Bachelor's,Senior Software Engineer,Senior,14,130000
34,Female,Master's,Senior Financial Advisor,Senior,6,100000
35,Male,Bachelor's,Senior Project Coordinator,Senior,9,95000
50,Female,PhD,Director of Operations,Director,22,180000
29,Male,Bachelor's,Junior Business Operations Analyst,Junior,1.5,350
37,Female,Bachelor's,Senior Financial Manager,Manager,10,120000
46,Male,PhD,Senior Data Scientist,Senior,18,160000
31,Female,Bachelor's,Junior Marketing Coordinator,Junior,3,50000
42,Male,Bachelor's,Senior Operations Manager,Manager,12,110000
29,Female,Bachelor's,Junior Sales Representative,Junior,1.5,40000
36,Male,Bachelor's,Senior Marketing Specialist,Senior,8,95000
44,Female,Master's,Senior HR Specialist,Senior,15,140000
33,Male,Bachelor's,Junior Operations Manager,Manager,4,60000
39,Female,Bachelor's,Senior Marketing Coordinator,Senior,9,110000
45,Male,PhD,Senior Data Engineer,Senior,16,150000
32,Female,Bachelor's,Junior Marketing Manager,Manager,4,60000
37,Male,Bachelor's,Senior Financial Analyst,Senior,8,90000
47,Female,Master's,Director of Marketing,Director,20,180000
30,Male,Bachelor's,Junior Business Analyst,Junior,2,40000
38,Female,Bachelor's,Senior Project Manager,Manager,9,120000
46,Male,PhD,Senior Data Analyst,Senior,17,160000
34,Female,Bachelor's,Junior Financial Analyst,Junior,5,70000
36,Male,Bachelor's,Senior Product Manager,Manager,8,95000
49,Female,Master's,Director of Operations,Director,21,180000
31,Male,Bachelor's,Junior Operations Analyst,Junior,3,50000
41,Female,Bachelor's,Senior Project Coordinator,Senior,11,95000
47,Male,Master's,Director of Marketing,Director,19,170000
29,Female,Bachelor's,Junior Business Development Associate,Junior,1.5,35000
35,Male,Bachelor's,Senior Financial Manager,Manager,9,100000
44,Female,PhD,Senior Product Designer,Senior,15,150000
33,Male,Bachelor's,Junior Business Analyst,Junior,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,Senior,8,85000
44,Male,Bachelor's,Senior Software Engineer,Senior,13,130000
32,Male,Bachelor's,Junior Product Manager,Manager,4,65000
38,Female,Bachelor's,Senior Business Analyst,Senior,10,110000
49,Male,PhD,Director of Operations,Director,21,180000
29,Female,Bachelor's,Junior Marketing Specialist,Junior,2,40000
35,Male,Bachelor's,Senior Business Development Manager,Manager,7,90000
45,Female,Master's,Senior HR Manager,Manager,14,140000
33,Male,Bachelor's,Junior Financial Analyst,Junior,4,60000
40,Female,Bachelor's,Senior Marketing Manager,Manager,12,130000
44,Male,PhD,Senior Data Scientist,Senior,16,160000
30,Female,Bachelor's,Junior Operations Coordinator,Junior,2,40000
37,Male,Bachelor's,Senior Marketing Analyst,Senior,9,100000
48,Female,Master's,Director of HR,Director,20,180000
31,Male,Bachelor's,Junior Project Manager,Manager,3,55000
38,Female,Bachelor's,Senior Operations Coordinator,Senior,9,120000
45,Male,PhD,Senior Data Engineer,Senior,16,150000
33,Female,Bachelor's,Junior Marketing Manager,Manager,5,70000
36,Male,Bachelor's,Senior Business Analyst,Senior,8,95000
49,Female,Master's,Director of Marketing,Director,21,180000
31,Male,Bachelor's,Junior Operations Analyst,Junior,3,50000
42,Female,Bachelor's,Senior Project Manager,Manager,12,120000
47,Male,Master's,Director of Marketing,Director,19,170000
29,Female,Bachelor's,Junior Business Development Associate,Junior,1.5,35000
35,Male,Bachelor's,Senior Financial Manager,Manager,9,100000
44,Female,PhD,Senior Product Designer,Senior,15,150000
33,Male,Bachelor's,Junior Business Analyst,Junior,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,Senior,8,85000
44,Male,Bachelor's,Senior Software Engineer,Senior,13,130000
34,Female,Master's,Senior Financial Advisor,Senior,6,80000
36,Male,Bachelor's,Senior Marketing Specialist,Senior,8,95000
30,Female,Bachelor's,Junior HR Coordinator,Junior,2,40000
37,Male,Bachelor's,Senior Business Development Manager,Manager,10,120000
45,Female,Master's,Senior Marketing Manager,Manager,16,160000
32,Male,Bachelor's,Junior Financial Advisor,Junior,4,65000
39,Female,Bachelor's,Senior Project Manager,Manager,12,130000
47,Male,PhD,Director of Engineering,Director,20,180000
29,Female,Bachelor's,Junior Marketing Analyst,Junior,2,40000
36,Male,Bachelor's,Senior Operations Manager,Manager,9,100000
43,Female,PhD,Senior Data Scientist,Senior,15,150000
32,Male,Bachelor's,Junior Marketing Coordinator,Junior,3,55000
38,Female,Bachelor's,Senior Business Analyst,Senior,10,110000
48,Male,Master's,Director of Marketing,Director,21,180000
31,Female,Bachelor's,Junior Business Development Associate,Junior,3,50000
40,Male,Bachelor's,Senior Financial Analyst,Senior,12,130000
45,Female,PhD,Senior UX Designer,Senior,16,160000
33,Male,Bachelor's,Junior Product Manager,Manager,4,60000
36,Female,Bachelor's,Senior Marketing Manager,Manager,8,95000
47,Male,Master's,Director of Operations,Director,19,170000
29,Female,Bachelor's,Junior Project Manager,Manager,2,40000
34,Male,Bachelor's,Senior Operations Coordinator,Senior,7,90000
44,Female,PhD,Senior Business Analyst,Senior,15,150000
33,Male,Bachelor's,Junior Marketing Specialist,Junior,5,70000
35,Female,Bachelor's,Senior Financial Manager,Manager,8,90000
43,Male,Master's,Director of Marketing,Director,18,170000
31,Female,Bachelor's,Junior Financial Analyst,Junior,3,50000
41,Male,Bachelor's,Senior Product Manager,Manager,14,150000
44,Female,PhD,Senior Data Engineer,Senior,16,160000
33,Male,Bachelor's,Junior Business Analyst,Junior,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,Senior,8,85000
45,Male,Master's,Director of Engineering,Director,19,180000
28,Female,Bachelor's,Junior Operations Manager,Manager,1,35000
36,Male,Bachelor's,Senior Business Development Manager,Manager,8,110000
44,Female,PhD,Senior Data Scientist,Senior,16,160000
31,Male,Bachelor's,Junior Marketing Coordinator,Junior,3,55000
38,Female,Bachelor's,Senior Business Analyst,Senior,10,110000
48,Male,Master's,Director of Marketing,Director,21,180000
31,Female,Bachelor's,Junior Business Development Associate,Junior,3,50000
40,Male,Bachelor's,Senior Financial Analyst,Senior,12,130000
45,Female,PhD,Senior UX Designer,Senior,16,160000
33,Male,Bachelor's,Junior Product Manager,Manager,4,60000
36,Female,Bachelor's,Senior Marketing Manager,Manager,8,95000
47,Male,Master's,Director of Operations,Director,19,170000
29,Female,Bachelor's,Junior Project Manager,Manager,2,40000
34,Male,Bachelor's,Senior Operations Coordinator,Senior,7,90000
44,Female,PhD,Senior Business Analyst,Senior,15,150000
33,Male,Bachelor's,Junior Marketing Specialist,Junior,5,70000
35,Female,Bachelor's,Senior Financial Manager,Manager,8,90000
43,Male,Master's,Director of Marketing,Director,18,170000
31,Female,Bachelor's,Junior Financial Analyst,Junior,3,50000
41,Male,Bachelor's,Senior Product Manager,Manager,14,150000
44,Female,PhD,Senior Data Engineer,Senior,16,160000
33,Male,Bachelor's,Junior Business Analyst,Junior,4,60000
35,Female,Bachelor's,Senior Marketing Analyst,Senior,8,85000
43,Male,Master's,Director of Operations,Director,19,170000
29,Female,Bachelor's,Junior Project Manager,Manager,2,40000
34,Male,Bachelor's,Senior Operations Coordinator,Senior,7,90000
44,Female,PhD,Senior Business Analyst,Senior,15,150000
